user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive,youtube_views,youtube_likes,youtube_comments,screen_time_hours,user_id,age,gender,technology_usage_hours,social_media_usage_hours,gaming_hours,mental_health_status,stress_level,sleep_hours,physical_activity_hours,support_systems_access,work_environment_impact,online_support_usage,heavy_user,total_usage,stress_level_num,digital_wellbeing_index,work_environment_num
1081,2024-01-04 22:40:17.605868622,Slack,Productivity,61.13,1,3,True,232223.4150943396,12724.830188679245,2427.7295597484276,1.0,USER-02295,22,Male,8.31,0.93,1.51,Fair,Low,4.66,4.93,No,Negative,No,0,248565.4448427673,1,1.865,-1
1053,2024-01-24 16:01:45.635211737,Instagram,Social,74.35,1,2,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.2,USER-01408,59,Male,11.09,6.96,4.17,Poor,Medium,7.1,1.29,Yes,Negative,No,0,248597.1348427673,2,0.04666666666666656,-1
1079,2024-03-04 03:28:23.367789263,Notion,Productivity,112.84,1,5,True,232223.4150943396,12724.830188679245,2427.7295597484276,1.9,USER-01200,27,Other,4.77,7.2,3.25,Fair,Medium,6.57,5.77,No,Positive,No,0,248630.27484276728,2,-0.20999999999999996,1
1076,2024-02-06 12:04:33.691230410,WhatsApp,Social,61.69,5,6,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.0,USER-03956,47,Male,2.41,4.09,4.39,Poor,Medium,6.21,0.33,Yes,Positive,No,0,248590.09484276728,2,0.7066666666666667,1
1034,2024-03-27 18:46:27.329109703,Google Docs,Productivity,106.11,0,5,True,232223.4150943396,12724.830188679245,2427.7295597484276,1.8,USER-00953,57,Other,3.84,1.28,1.78,Good,High,5.39,4.45,Yes,Neutral,No,0,248596.62484276725,3,1.0274999999999999,0
1089,2024-02-01 02:26:55.738579526,Google Docs,Productivity,90.26,1,4,True,232223.4150943396,12724.830188679245,2427.7295597484276,1.5,USER-08418,48,Female,2.88,5.71,2.52,Fair,Medium,8.36,2.74,No,Negative,No,0,248631.9448427673,2,0.8833333333333332,-1
1080,2024-02-17 00:02:52.857619206,Snapchat,Social,108.19,1,1,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.8,USER-07893,41,Male,1.68,6.02,0.39,Fair,High,5.08,6.39,Yes,Positive,No,0,248628.52484276728,3,-0.23499999999999988,1
1099,2024-02-21 13:17:03.941313771,Gmail,Utilities,60.27,2,7,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.0,USER-07586,49,Other,1.74,6.1,4.81,Good,Medium,4.06,2.55,No,Negative,Yes,0,248613.50484276726,2,-0.68,-1
1015,2024-01-08 22:04:16.885628542,YouTube,Entertainment,71.7,1,4,False,218648.0,19866.0,1397.0,1.2,USER-00050,38,Female,3.06,0.82,2.76,Excellent,Low,4.41,8.6,No,Neutral,Yes,0,241061.55000000002,1,1.7950000000000002,0
1096,2024-01-15 20:50:20.206735578,Twitter,Social,86.34,5,5,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.4,USER-00185,65,Other,7.58,7.92,1.62,Fair,Low,5.2,7.24,No,Neutral,No,0,248664.27484276728,1,-1.3599999999999999,0
1086,2024-03-06 02:48:32.170723575,Netflix,Entertainment,176.98,3,3,False,232223.4150943396,12724.830188679245,2427.7295597484276,2.9,USER-07439,41,Male,4.68,5.26,0.84,Excellent,Medium,4.84,2.33,No,Positive,No,1,248707.8048427673,2,-0.13999999999999999,1
1038,2024-02-09 12:10:19.406468823,Slack,Productivity,63.85,1,6,True,232223.4150943396,12724.830188679245,2427.7295597484276,1.1,USER-08362,39,Female,8.21,3.61,2.14,Good,Medium,7.9,6.11,No,Neutral,Yes,0,248552.89484276727,2,1.4300000000000004,0
1014,2024-03-26 21:39:18.786262088,Google Maps,Utilities,89.55,1,5,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.5,USER-09213,45,Female,8.33,4.66,1.79,Fair,Low,4.6,2.02,No,Neutral,Yes,0,248553.42484276727,1,-0.03000000000000025,0
1024,2024-02-08 01:56:40.733577859,TikTok,Entertainment,97.36,4,9,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.6,USER-04937,48,Male,4.96,2.69,1.34,Fair,High,8.46,0.55,Yes,Negative,Yes,0,248577.93484276728,3,1.4425000000000003,-1
1042,2024-03-15 16:12:19.446482161,Instagram,Social,209.48,3,5,False,232223.4150943396,12724.830188679245,2427.7295597484276,3.5,USER-08972,27,Other,7.17,3.93,3.24,Good,Medium,7.75,3.15,Yes,Positive,No,1,248692.1948427673,2,1.2733333333333332,1
1023,2024-03-27 00:34:05.481827276,Camera,Utilities,78.18,1,7,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.3,USER-06177,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,Negative,No,0,248561.29484276727,3,-0.405,-1
1044,2024-03-09 10:54:56.298766256,Google Maps,Utilities,76.06,1,2,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.3,USER-06177,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,Negative,No,0,248575.17484276727,3,-0.405,-1
1092,2024-03-14 16:10:24.208069357,TikTok,Entertainment,77.49,2,1,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.3,USER-06177,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,Negative,No,0,248624.60484276726,3,-0.405,-1
1090,2024-03-14 05:58:40.773591197,Facebook,Social,76.55,1,8,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.3,USER-07997,19,Other,4.55,1.6,0.77,Good,High,6.82,5.39,Yes,Negative,No,0,248590.95484276727,3,1.3050000000000002,-1
1025,2024-03-19 17:47:23.747915972,Weather,Utilities,113.89,1,7,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.9,USER-02614,33,Other,7.3,7.59,1.86,Excellent,Medium,8.65,1.48,No,Negative,No,0,248584.6448427673,2,0.3533333333333335,-1
1090,2024-03-14 05:58:40.773591197,Facebook,Social,76.55,1,8,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.3,USER-06177,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,Negative,No,0,248627.66484276726,3,-0.405,-1
1015,2024-01-08 22:04:16.885628542,YouTube,Entertainment,71.7,1,4,False,218648.0,19866.0,1397.0,1.2,USER-00411,50,Male,1.11,6.67,3.68,Good,Low,4.61,8.16,No,Positive,Yes,0,241078.13,1,-1.0299999999999998,1
1093,2024-03-06 21:00:54.018006002,Slack,Productivity,115.19,3,6,True,232223.4150943396,12724.830188679245,2427.7295597484276,1.9,USER-02952,29,Female,3.92,7.49,2.36,Excellent,High,7.25,7.0,No,Neutral,Yes,0,248652.08484276728,3,-0.06000000000000005,0
1014,2024-01-10 11:12:42.254084694,Instagram,Social,134.82,1,5,False,232223.4150943396,12724.830188679245,2427.7295597484276,2.2,USER-03275,38,Female,10.62,3.92,0.55,Poor,Medium,6.42,9.8,No,Negative,Yes,1,248603.30484276728,2,0.8333333333333334,-1
1083,2024-01-19 06:24:07.682560853,Microsoft Teams,Productivity,66.59,1,2,True,232223.4150943396,12724.830188679245,2427.7295597484276,1.1,USER-04204,55,Other,3.28,2.9,0.42,Good,High,6.41,1.33,No,Positive,No,0,248599.0048427673,3,0.8775000000000001,1
1029,2024-02-23 02:25:29.309769923,TikTok,Entertainment,119.72,4,7,False,232223.4150943396,12724.830188679245,2427.7295597484276,2.0,USER-07339,48,Other,1.12,6.56,4.44,Good,Low,6.62,1.45,No,Negative,Yes,0,248605.8848427673,1,0.03000000000000025,-1
1013,2024-02-21 15:28:08.962987662,Chrome,Utilities,57.06,1,5,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.0,USER-02295,22,Male,8.31,0.93,1.51,Fair,Low,4.66,4.93,No,Negative,No,0,248495.37484276728,1,1.865,-1
1035,2024-03-02 02:40:51.217072358,Instagram,Social,134.14,1,5,False,232223.4150943396,12724.830188679245,2427.7295597484276,2.2,USER-08708,18,Male,3.26,5.59,4.21,Poor,Low,5.21,1.08,No,Negative,No,1,248591.6648427673,1,-0.18999999999999995,-1
1076,2024-01-03 22:38:22.367455818,Gmail,Utilities,59.13,0,3,False,232223.4150943396,12724.830188679245,2427.7295597484276,1.0,USER-07586,49,Other,1.74,6.1,4.81,Good,Medium,4.06,2.55,No,Negative,Yes,0,248583.36484276727,2,-0.68,-1
1013,2024-01-10 13:23:47.275758586,Evernote,Productivity,117.82,2,8,True,232223.4150943396,12724.830188679245,2427.7295597484276,2.0,USER-05694,34,Female,10.47,0.94,3.84,Good,Low,7.35,5.57,No,Positive,No,0,248580.96484276728,1,3.205,1
